"t","mass","E","L"
7.9,-3.52377504870137e-24,9.86960440108936,1.00017836664732
8,5.4351941377779e-24,9.86960440108936,1.00017839255136
8.1,6.3165866741571e-24,9.86960440108936,1.00017841374436
8.2,-3.58839853405708e-24,9.86960440108936,1.00017843108162
8.3,1.42746098763491e-24,9.86960440108936,1.00017844526418
8.4,2.26792531662217e-24,9.86960440108936,1.00017845687105
8.5,-1.45797763349733e-24,9.86960440108936,1.00017846636437
8.6,-2.88292548559063e-24,9.86960440108936,1.00017847413146
8.7,2.89495263425405e-24,9.86960440108936,1.00017848048555
8.8,-3.84150718503359e-26,9.86960440108936,1.00017848568407
8.9,-2.22753563827485e-24,9.86960440108936,1.000178489936
9,-1.54486031936444e-24,9.86960440108936,1.00017849341723
9.1,-2.58045167218962e-24,9.86960440108936,1.0001784962638
9.2,2.89190096966781e-25,9.86960440108936,1.00017849859481
9.3,-1.68748076135085e-24,9.86960440108936,1.00017850049976
9.4,6.2280884011561e-25,9.86960440108936,1.00017850205588
9.5,1.74698822078257e-24,9.86960440108936,1.00017850333449
9.6,7.69647759618296e-25,9.86960440108936,1.00017850437752
9.7,2.54903747791949e-25,9.86960440108936,1.00017850523075
9.8,1.42826878120186e-24,9.86960440108936,1.00017850592719
9.9,1.21707564086578e-25,9.86960440108936,1.00017850650018
10,3.23566200982385e-26,9.86960440108936,1.00017850696873
10.1,-6.49421150404452e-25,9.86960440108936,1.00017850734549
10.2,9.89277854986922e-25,9.86960440108936,1.00017850765481
10.3,2.80932651615774e-26,9.86960440108936,1.00017850790885
10.4,-1.08109705709649e-25,9.86960440108936,1.00017850811744
10.5,-1.21528054405035e-25,9.86960440108936,1.00017850828869
10.6,1.07593615375211e-25,9.86960440108936,1.00017850842935
10.7,2.18328650177435e-25,9.86960440108936,1.00017850854502
10.8,-4.80861559434988e-26,9.86960440108936,1.00017850864001
10.9,-3.27380781715188e-26,9.86960440108936,1.00017850871795
11,-1.15604234914095e-25,9.86960440108936,1.00017850878204
11.1,1.40017551604028e-25,9.86960440108936,1.00017850883477
11.2,-4.78842075517622e-26,9.86960440108936,1.00017850887793
11.3,-2.16264288839683e-25,9.86960440108936,1.00017850891328
11.4,2.14659921060887e-25,9.86960440108936,1.00017850894218
11.5,-8.82626665439815e-26,9.86960440108936,1.00017850896582
11.6,2.01948391736579e-27,9.86960440108936,1.00017850898517
11.7,-2.8059607096288e-26,9.86960440108936,1.00017850900099
11.8,-4.41930397250214e-26,9.86960440108936,1.00017850901394
11.9,-1.11408196108013e-25,9.86960440108936,1.00017850902453
12,4.62237429974836e-26,9.86960440108936,1.00017850903319
12.1,-4.38059719741929e-26,9.86960440108936,1.00017850904027
12.2,-3.59524234066593e-26,9.86960440108936,1.00017850904607
12.3,6.50946982697573e-26,9.86960440108936,1.0001785090508
12.4,-7.76940340431006e-27,9.86960440108936,1.00017850905467
12.5,3.82355621687923e-26,9.86960440108936,1.00017850905784
12.6,-8.25744535100679e-27,9.86960440108936,1.00017850906042
12.7,-3.79242250648651e-26,9.86960440108936,1.00017850906253
12.8,1.13147196147967e-26,9.86960440108936,1.00017850906424
12.9,-1.81445020297768e-26,9.86960440108936,1.00017850906564
13,5.13285495663805e-27,9.86960440108936,1.00017850906677
13.1,4.37386558436141e-26,9.86960440108936,1.00017850906768
13.2,1.14998389738885e-28,9.86960440108936,1.00017850906841
13.3,-2.3611132800535e-26,9.86960440108936,1.00017850906898
13.4,6.39082514683049e-27,9.86960440108936,1.00017850906943
13.5,2.19731069564494e-26,9.86960440108936,1.00017850906976
13.6,-1.13806333259885e-26,9.86960440108936,1.00017850906999
13.7,-1.04900970152056e-27,9.86960440108936,1.00017850907011
13.8,1.81192584808097e-27,9.86960440108936,1.00017850907017
13.9,7.29819049025804e-27,9.86960440108936,1.00017850907013
14,-3.54671862987367e-27,9.86960440108936,1.00017850907
14.1,2.30207142385829e-27,9.86960440108936,1.00017850906978
14.2,-5.65175012985009e-28,9.86960440108936,1.00017850906945
14.3,-1.35403591820602e-27,9.86960440108936,1.000178509069
14.4,-7.86126187416246e-27,9.86960440108936,1.00017850906842
14.5,1.71130225705945e-27,9.86960440108936,1.00017850906767
14.6,4.68408075277899e-27,9.86960440108936,1.0001785090667
14.7,1.02692159617437e-27,9.86960440108936,1.0001785090655
14.8,1.0805641377294e-27,9.86960440108936,1.000178509064
14.9,-1.18399256752505e-27,9.86960440108936,1.00017850906212
15,1.37752644293927e-27,9.86960440108936,1.00017850905982
15.1,7.62565541713645e-28,9.86960440108936,1.00017850905694
15.2,1.80456314629891e-27,9.86960440108936,1.00017850905339
15.3,-2.04472746633286e-27,9.86960440108936,1.000178509049
15.4,-1.03340778583953e-27,9.86960440108936,1.00017850904357
15.5,3.42365632865919e-28,9.86960440108936,1.00017850903686
15.6,1.03025234221864e-27,9.86960440108936,1.00017850902857
15.7,-1.53074076097553e-27,9.86960440108936,1.00017850901833
15.8,-5.45628792777866e-28,9.86960440108936,1.00017850900569
15.9,-7.78868667088212e-28,9.86960440108936,1.00017850899007
16,1.01245914624532e-27,9.86960440108936,1.00017850897076
16.1,-2.786432019664e-28,9.86960440108936,1.00017850894694
16.2,-3.49728334647982e-28,9.86960440108936,1.00017850891751
16.3,8.12614383589333e-28,9.86960440108936,1.00017850888116
16.4,3.16946781475464e-28,9.86960440108936,1.00017850883627
16.5,-1.45062755348975e-28,9.86960440108936,1.00017850878084
16.6,-5.0574749145836e-29,9.86960440108936,1.00017850871237
16.7,-4.3773015118597e-28,9.86960440108936,1.00017850862781
16.8,-1.19074171082527e-28,9.86960440108936,1.00017850852338
16.9,3.47624705567393e-28,9.86960440108936,1.00017850839441
17,3.44688389975737e-28,9.86960440108936,1.00017850823513
17.1,-1.60204502168634e-28,9.86960440108936,1.00017850803842
17.2,2.35781759449391e-29,9.86960440108936,1.00017850779548
17.3,2.70382075264502e-28,9.86960440108936,1.00017850749545
17.4,8.90317182753603e-29,9.86960440108936,1.00017850712492
17.5,-1.13311103913829e-28,9.86960440108936,1.0001785066673
